"model"	"term"	"estimate"	"std.error"	"p.value"	"conf.low"	"conf.high"
"37"	"full, binomial"	"viv_dum_rent"	"1.03"	"0.10"	"0.7758"	"0.84"	"1.26"
"38"	"full, binomial"	"viv_dum_temp"	"1.04"	"0.10"	"0.7030"	"0.85"	"1.26"
"39"	"full, binomial"	"psycom_dum_with"	"1.04"	"0.04"	"0.2547"	"0.97"	"1.12"
"40"	"full, binomial"	"psycom_dum_study"	"1.86"	"0.05"	"0.0000"	"1.68"	"2.06"
"41"	"full, binomial"	"susinidum_oh"	"0.95"	"0.11"	"0.6688"	"0.77"	"1.19"
"42"	"full, binomial"	"susinidum_coc"	"1.04"	"0.14"	"0.7677"	"0.80"	"1.36"
"43"	"full, binomial"	"susinidum_pbc"	"1.16"	"0.13"	"0.2283"	"0.91"	"1.49"
"44"	"full, binomial"	"susinidum_mar"	"1.09"	"0.11"	"0.4246"	"0.88"	"1.37"
"45"	"full, binomial"	"cohab_dum_alone"	"1.00"	"0.08"	"0.9553"	"0.85"	"1.19"
"46"	"full, binomial"	"cohab_dum_fam_or"	"0.93"	"0.07"	"0.2778"	"0.82"	"1.06"
"47"	"full, binomial"	"cohab_dum_cpl_child"	"0.98"	"0.07"	"0.7917"	"0.86"	"1.12"
"48"	"simplest, poisson"	"(Intercept)"	"0.00"	"3.56"	"0.0686"	"0.00"	"1.64"
"49"	"simplest, poisson"	"policonsumo2"	"1.03"	"0.01"	"0.0082"	"1.01"	"1.05"
"50"	"simplest, poisson"	"edad_al_ing_1"	"0.99"	"0.00"	"0.0044"	"0.99"	"1.00"
"51"	"simplest, poisson"	"ano_nac_corr"	"1.00"	"0.00"	"0.0724"	"1.00"	"1.01"
"52"	"simplest, poisson"	"susinidum_oh"	"0.99"	"0.03"	"0.6736"	"0.93"	"1.05"
"53"	"simplest, poisson"	"susinidum_coc"	"1.01"	"0.03"	"0.8668"	"0.94"	"1.08"
"54"	"simplest, poisson"	"susinidum_pbc"	"1.04"	"0.03"	"0.1975"	"0.98"	"1.11"
"55"	"simplest, poisson"	"susinidum_mar"	"1.02"	"0.03"	"0.5331"	"0.96"	"1.08"
"56"	"simplest, poisson"	"psycom_dum_study"	"1.14"	"0.01"	"0.0000"	"1.12"	"1.16"
"57"	"simplest, poisson"	"psycom_dum_with"	"1.01"	"0.01"	"0.5436"	"0.99"	"1.03"
"58"	"simplest, poisson"	"freq_cons_dum_5day"	"1.00"	"0.01"	"0.6179"	"0.99"	"1.02"
"59"	"simplest, poisson"	"cond_oc_dum_2inact"	"0.95"	"0.01"	"0.0000"	"0.92"	"0.97"
"60"	"simplest, poisson"	"cond_oc_dum_3unemp"	"0.96"	"0.01"	"0.0000"	"0.94"	"0.98"
"61"	"simplest, poisson"	"susprindum_coc"	"1.02"	"0.01"	"0.2447"	"0.99"	"1.05"
"62"	"simplest, poisson"	"susprindum_pbc"	"1.06"	"0.01"	"0.0000"	"1.04"	"1.09"
"63"	"simplest, poisson"	"susprindum_mar"	"1.01"	"0.02"	"0.5252"	"0.97"	"1.06"
"64"	"full, poisson"	"(Intercept)"	"0.01"	"3.55"	"0.1582"	"0.00"	"7.03"
"65"	"full, poisson"	"policonsumo2"	"1.04"	"0.01"	"0.0013"	"1.01"	"1.06"
"66"	"full, poisson"	"comp_bpsc_y2_moderate"	"1.05"	"0.02"	"0.0166"	"1.01"	"1.09"
"67"	"full, poisson"	"comp_bpsc_y3_severe"	"1.01"	"0.02"	"0.5721"	"0.97"	"1.05"
"68"	"full, poisson"	"edad_al_ing_1"	"0.99"	"0.00"	"0.0007"	"0.99"	"1.00"
"69"	"full, poisson"	"ano_nac_corr"	"1.00"	"0.00"	"0.1836"	"1.00"	"1.01"
"70"	"full, poisson"	"esc_dum_rec_3prim"	"1.13"	"0.02"	"0.0000"	"1.10"	"1.17"
"71"	"full, poisson"	"esc_dum_rec_2high"	"1.08"	"0.02"	"0.0000"	"1.05"	"1.12"
"72"	"full, poisson"	"susprindum_oh"	"1.11"	"0.05"	"0.0282"	"1.01"	"1.21"
"73"	"full, poisson"	"susprindum_coc"	"1.13"	"0.05"	"0.0094"	"1.03"	"1.24"
"74"	"full, poisson"	"susprindum_pbc"	"1.16"	"0.05"	"0.0010"	"1.06"	"1.27"
"75"	"full, poisson"	"susprindum_mar"	"1.11"	"0.05"	"0.0312"	"1.01"	"1.22"
"76"	"full, poisson"	"freq_cons_dum_5day"	"1.00"	"0.02"	"0.8958"	"0.96"	"1.05"
"77"	"full, poisson"	"freq_cons_dum_44to6wk"	"1.01"	"0.02"	"0.7657"	"0.96"	"1.05"
"78"	"full, poisson"	"freq_cons_dum_32to3wk"	"0.98"	"0.02"	"0.4909"	"0.94"	"1.03"
"79"	"full, poisson"	"freq_cons_dum_21wkmore"	"0.99"	"0.03"	"0.7065"	"0.94"	"1.04"
"80"	"full, poisson"	"cond_oc_dum_3unemp"	"0.97"	"0.01"	"0.0007"	"0.95"	"0.99"
"81"	"full, poisson"	"cond_oc_dum_2inact"	"0.94"	"0.01"	"0.0000"	"0.92"	"0.97"
"82"	"full, poisson"	"viv_dum_illegal"	"0.95"	"0.05"	"0.2573"	"0.87"	"1.04"
"83"	"full, poisson"	"viv_dum_own"	"1.00"	"0.02"	"0.8856"	"0.96"	"1.05"
"84"	"full, poisson"	"viv_dum_rent"	"1.01"	"0.03"	"0.8177"	"0.96"	"1.06"
"85"	"full, poisson"	"viv_dum_temp"	"1.01"	"0.02"	"0.7762"	"0.96"	"1.06"
"86"	"full, poisson"	"psycom_dum_with"	"1.01"	"0.01"	"0.3178"	"0.99"	"1.03"
"87"	"full, poisson"	"psycom_dum_study"	"1.14"	"0.01"	"0.0000"	"1.12"	"1.16"
"88"	"full, poisson"	"susinidum_oh"	"0.99"	"0.03"	"0.6216"	"0.93"	"1.04"
"89"	"full, poisson"	"susinidum_coc"	"1.01"	"0.03"	"0.8562"	"0.94"	"1.08"
"90"	"full, poisson"	"susinidum_pbc"	"1.03"	"0.03"	"0.2953"	"0.97"	"1.10"
"91"	"full, poisson"	"susinidum_mar"	"1.02"	"0.03"	"0.5698"	"0.96"	"1.08"
"92"	"full, poisson"	"cohab_dum_alone"	"1.00"	"0.02"	"0.9432"	"0.96"	"1.04"
"93"	"full, poisson"	"cohab_dum_fam_or"	"0.98"	"0.02"	"0.2501"	"0.95"	"1.01"
"94"	"full, poisson"	"cohab_dum_cpl_child"	"1.00"	"0.02"	"0.8597"	"0.97"	"1.03"
