"characteristic"	"level"	"Overall"	"0"	"1"	"p"	"test"	"SMD"
"43"	"Psychiatric Comorbidity (ICD-10) (%)"	"Diagnosis unknown (under study)"	"16099 (18.9)"	"3575 (15.9)"	"12524 (20.0)"	""	""	""
"44"	"Psychiatric Comorbidity (ICD-10) (%)"	"With psychiatric comorbidity"	"36612 (43.0)"	"8955 (39.7)"	"27657 (44.3)"	""	""	""
"45"	"SUD Severity (Dependence status) (%)"	"Drug dependence"	"61836 (72.7)"	"13974 (62.0)"	"47862 (76.6)"	"<0.001"	""	"0.321"
"46"	"SUD Severity (Dependence status) (%)"	"Hazardous consumption"	"23211 (27.3)"	"8577 (38.0)"	"14634 (23.4)"	""	""	""
"47"	"SUD Severity (Dependence status) (%)"	"[Missing]"	"1 (0.0)"	"1 (0.0)"	"0 (0.0)"	""	""	""
"48"	"clas_r (%)"	"Mixed"	"8205 (9.6)"	"2850 (12.6)"	"5355 (8.6)"	"<0.001"	""	"0.272"
"49"	"clas_r (%)"	"Rural"	"7148 (8.4)"	"2977 (13.2)"	"4171 (6.7)"	""	""	""
"50"	"clas_r (%)"	"Urban"	"69693 (81.9)"	"16724 (74.2)"	"52969 (84.8)"	""	""	""
"51"	"clas_r (%)"	"[Missing]"	"2 (0.0)"	"1 (0.0)"	"1 (0.0)"	""	""	""
"52"	"Percentage of people in poverty (median [IQR])"	""	"0.11 [0.07, 0.16]"	"0.11 [0.07, 0.15]"	"0.12 [0.08, 0.17]"	"<0.001"	"nonnorm"	"0.104"
"53"	"Primary Substance (initial diagnosis) (%)"	"Alcohol"	"46623 (54.8)"	"15574 (69.1)"	"31049 (49.7)"	"<0.001"	""	"0.505"
"54"	"Primary Substance (initial diagnosis) (%)"	"Cocaine hydrochloride"	"3162 (3.7)"	"957 (4.2)"	"2205 (3.5)"	""	""	""
"55"	"Primary Substance (initial diagnosis) (%)"	"Cocaine paste"	"3864 (4.5)"	"1321 (5.9)"	"2543 (4.1)"	""	""	""
"56"	"Primary Substance (initial diagnosis) (%)"	"Marijuana"	"22991 (27.0)"	"3083 (13.7)"	"19908 (31.9)"	""	""	""
"57"	"Primary Substance (initial diagnosis) (%)"	"Other"	"1987 (2.3)"	"563 (2.5)"	"1424 (2.3)"	""	""	""
"58"	"Primary Substance (initial diagnosis) (%)"	"[Missing]"	"6421 (7.5)"	"1054 (4.7)"	"5367 (8.6)"	""	""	""
"59"	"Corrected birth year (median [IQR])"	""	"1980.00 [1971.00, 1987.00]"	"1974.00 [1964.00, 1983.00]"	"1982.00 [1974.00, 1988.00]"	"<0.001"	"nonnorm"	"0.630"
"60"	"Cohabitation status (Recoded) (f) (%)"	"Alone"	"8026 (9.4)"	"2765 (12.3)"	"5261 (8.4)"	"<0.001"	""	"0.342"
"61"	"Cohabitation status (Recoded) (f) (%)"	"Family of origin"	"35576 (41.8)"	"6866 (30.4)"	"28710 (45.9)"	""	""	""
"62"	"Cohabitation status (Recoded) (f) (%)"	"Others"	"7291 (8.6)"	"1802 (8.0)"	"5489 (8.8)"	""	""	""
"63"	"Cohabitation status (Recoded) (f) (%)"	"With couple/children"	"34154 (40.2)"	"11118 (49.3)"	"23036 (36.9)"	""	""	""
"64"	"Cohabitation status (Recoded) (f) (%)"	"[Missing]"	"1 (0.0)"	"1 (0.0)"	"0 (0.0)"	""	""	""
"65"	"Physical Comorbidity (ICD-10) (%)"	"Without physical comorbidity"	"33609 (39.5)"	"8363 (37.1)"	"25246 (40.4)"	"<0.001"	""	"0.084"
"66"	"Physical Comorbidity (ICD-10) (%)"	"Diagnosis unknown (under study)"	"45892 (54.0)"	"12457 (55.2)"	"33435 (53.5)"	""	""	""
"67"	"Physical Comorbidity (ICD-10) (%)"	"One or more"	"5547 (6.5)"	"1732 (7.7)"	"3815 (6.1)"	""	""	""
"68"	"Biopsychosocial compromise (%)"	"1-Mild"	"7986 (9.4)"	"3801 (16.9)"	"4185 (6.7)"	"<0.001"	""	"0.420"
"69"	"Biopsychosocial compromise (%)"	"2-Moderate"	"48355 (56.9)"	"13544 (60.1)"	"34811 (55.7)"	""	""	""
"70"	"Biopsychosocial compromise (%)"	"3-Severe"	"27150 (31.9)"	"4743 (21.0)"	"22407 (35.9)"	""	""	""
"71"	"Biopsychosocial compromise (%)"	"[Missing]"	"1557 (1.8)"	"464 (2.1)"	"1093 (1.7)"	""	""	""
"72"	"Treatment Admission Motive (%)"	"Spontaneous"	"38028 (44.7)"	"10097 (44.8)"	"27931 (44.7)"	"<0.001"	""	"0.187"
"73"	"Treatment Admission Motive (%)"	"Assisted Referral"	"7967 (9.4)"	"1455 (6.5)"	"6512 (10.4)"	""	""	""
"74"	"Treatment Admission Motive (%)"	"Other"	"4514 (5.3)"	"1184 (5.3)"	"3330 (5.3)"	""	""	""
"75"	"Treatment Admission Motive (%)"	"Justice Sector"	"7976 (9.4)"	"2787 (12.4)"	"5189 (8.3)"	""	""	""
"76"	"Treatment Admission Motive (%)"	"Health Sector"	"26563 (31.2)"	"7029 (31.2)"	"19534 (31.3)"	""	""	""
"77"	"tipo_centro_pub (%)"	"FALSE"	"24070 (28.3)"	"3414 (15.1)"	"20656 (33.1)"	"<0.001"	""	"0.429"
"78"	"tipo_centro_pub (%)"	"TRUE"	"60958 (71.7)"	"19135 (84.8)"	"41823 (66.9)"	""	""	""
"79"	"tipo_centro_pub (%)"	"[Missing]"	"20 (0.0)"	"3 (0.0)"	"17 (0.0)"	""	""	""
