"w"	"term"	"HR"	"lo_95ci"	"up_95ci"	"p.value"
"22"	"i1d"	"comp_bpsc_y3_severe.lag"	"1.48"	"1.42"	"1.55"	"<0.001"
"23"	"i1d"	"less_90d_tr1.lag"	"1.57"	"1.53"	"1.61"	"<0.001"
"24"	"i1d"	"policonsumo2.lag"	"1.27"	"1.23"	"1.31"	"<0.001"
"25"	"i2"	"tr_outcome.lag"	"0.81"	"0.78"	"0.84"	"<0.001"
"26"	"i2"	"comp_bpsc_y2_moderate.lag"	"0.45"	"0.43"	"0.47"	"<0.001"
"27"	"i2"	"comp_bpsc_y3_severe.lag"	"0.52"	"0.50"	"0.55"	"<0.001"
"28"	"i2"	"less_90d_tr1.lag"	"1.18"	"1.13"	"1.23"	"<0.001"
"29"	"i2"	"policonsumo2.lag"	"0.61"	"0.59"	"0.63"	"<0.001"
"30"	"i2"	"treatment"	"0.77"	"0.75"	"0.79"	"<0.001"
"31"	"i3"	"tr_outcome.lag"	"0.75"	"0.73"	"0.78"	"<0.001"
"32"	"i3"	"comp_bpsc_y2_moderate.lag"	"0.40"	"0.38"	"0.42"	"<0.001"
"33"	"i3"	"comp_bpsc_y3_severe.lag"	"0.45"	"0.43"	"0.47"	"<0.001"
"34"	"i3"	"less_90d_tr1.lag"	"1.12"	"1.08"	"1.17"	"<0.001"
"35"	"i3"	"policonsumo2.lag"	"0.57"	"0.55"	"0.59"	"<0.001"
"36"	"i3"	"policonsumo2"	"1.18"	"1.16"	"1.20"	"<0.001"
"37"	"i3b"	"tr_outcome.lag"	"1.19"	"1.15"	"1.23"	"<0.001"
"38"	"i3b"	"comp_bpsc_y2_moderate.lag"	"1.00"	"0.95"	"1.06"	"0.869"
"39"	"i3b"	"comp_bpsc_y3_severe.lag"	"1.81"	"1.71"	"1.92"	"<0.001"
"40"	"i3b"	"less_90d_tr1.lag"	"2.35"	"2.29"	"2.42"	"<0.001"
"41"	"i3b"	"policonsumo2.lag"	"1.13"	"1.09"	"1.18"	"<0.001"
"42"	"i3b"	"policonsumo2"	"1.06"	"1.05"	"1.08"	"<0.001"
"43"	"i4"	"tr_outcome.lag"	"0.81"	"0.78"	"0.84"	"<0.001"
"44"	"i4"	"comp_bpsc_y2_moderate.lag"	"0.45"	"0.43"	"0.47"	"<0.001"
"45"	"i4"	"comp_bpsc_y3_severe.lag"	"0.52"	"0.50"	"0.55"	"<0.001"
"46"	"i4"	"less_90d_tr1.lag"	"1.18"	"1.13"	"1.23"	"<0.001"
"47"	"i4"	"policonsumo2.lag"	"0.61"	"0.59"	"0.63"	"<0.001"
"48"	"i4"	"treatment.lag"	"0.77"	"0.75"	"0.79"	"<0.001"
"49"	"i4b"	"tr_outcome.lag"	"1.23"	"1.18"	"1.28"	"<0.001"
"50"	"i4b"	"comp_bpsc_y2_moderate.lag"	"1.00"	"0.94"	"1.07"	"0.991"
"51"	"i4b"	"comp_bpsc_y3_severe.lag"	"4.17"	"3.92"	"4.44"	"<0.001"
"52"	"i4b"	"less_90d_tr1.lag"	"3.57"	"3.49"	"3.65"	"<0.001"
"53"	"i4b"	"policonsumo2.lag"	"2.33"	"2.24"	"2.43"	"<0.001"
"54"	"i4b"	"treatment.lag"	"1.16"	"1.12"	"1.19"	"<0.001"
"55"	"i4c"	"tr_outcome.lag"	"1.03"	"1.00"	"1.06"	"0.076"
"56"	"i4c"	"comp_bpsc_y2_moderate.lag"	"0.75"	"0.72"	"0.79"	"<0.001"
"57"	"i4c"	"comp_bpsc_y3_severe.lag"	"0.88"	"0.84"	"0.92"	"<0.001"
"58"	"i4c"	"less_90d_tr1.lag"	"1.13"	"1.09"	"1.17"	"<0.001"
"59"	"i4c"	"policonsumo2.lag"	"0.83"	"0.81"	"0.86"	"<0.001"
"60"	"i4c"	"treatment.lag"	"0.26"	"0.25"	"0.28"	"<0.001"
"61"	"i4d"	"tr_outcome.lag"	"1.14"	"1.11"	"1.18"	"<0.001"
"62"	"i4d"	"comp_bpsc_y2_moderate.lag"	"1.00"	"0.95"	"1.06"	"0.873"
"63"	"i4d"	"comp_bpsc_y3_severe.lag"	"1.62"	"1.54"	"1.70"	"<0.001"
"64"	"i4d"	"less_90d_tr1.lag"	"1.80"	"1.75"	"1.86"	"<0.001"
"65"	"i4d"	"policonsumo2.lag"	"1.11"	"1.07"	"1.15"	"<0.001"
"66"	"i4d"	"treatment.lag"	"0.26"	"0.24"	"0.28"	"<0.001"
"67"	"i5"	"tr_outcome.lag"	"0.75"	"0.73"	"0.78"	"<0.001"
"68"	"i5"	"comp_bpsc_y2_moderate.lag"	"0.40"	"0.38"	"0.42"	"<0.001"
"69"	"i5"	"comp_bpsc_y3_severe.lag"	"0.45"	"0.43"	"0.47"	"<0.001"
"70"	"i5"	"less_90d_tr1.lag"	"1.12"	"1.08"	"1.17"	"<0.001"
"71"	"i5"	"policonsumo2.lag"	"0.57"	"0.55"	"0.59"	"<0.001"
"72"	"i5"	"policonsumo2"	"1.18"	"1.16"	"1.20"	"<0.001"
"73"	"i5b"	"tr_outcome.lag"	"1.19"	"1.15"	"1.23"	"<0.001"
"74"	"i5b"	"comp_bpsc_y2_moderate.lag"	"1.00"	"0.95"	"1.06"	"0.869"
"75"	"i5b"	"comp_bpsc_y3_severe.lag"	"1.81"	"1.71"	"1.92"	"<0.001"
"76"	"i5b"	"less_90d_tr1.lag"	"2.35"	"2.29"	"2.42"	"<0.001"
"77"	"i5b"	"policonsumo2.lag"	"1.13"	"1.09"	"1.18"	"<0.001"
"78"	"i5b"	"policonsumo2"	"1.06"	"1.05"	"1.08"	"<0.001"
