"model"	"term"	"estimate"	"std.error"	"p.value"	"conf.low"	"conf.high"
"39"	"full, binomial"	"psycom_dum_with"	"0.99"	"0.05"	"0.9079"	"0.90"	"1.09"
"40"	"full, binomial"	"psycom_dum_study"	"1.85"	"0.08"	"0.0000"	"1.60"	"2.15"
"41"	"full, binomial"	"susinidum_oh"	"0.95"	"0.16"	"0.7499"	"0.70"	"1.30"
"42"	"full, binomial"	"susinidum_coc"	"1.21"	"0.20"	"0.3388"	"0.82"	"1.80"
"43"	"full, binomial"	"susinidum_pbc"	"1.03"	"0.18"	"0.8528"	"0.72"	"1.48"
"44"	"full, binomial"	"susinidum_mar"	"1.12"	"0.16"	"0.4861"	"0.81"	"1.54"
"45"	"full, binomial"	"cohab_dum_alone"	"1.09"	"0.11"	"0.4247"	"0.88"	"1.36"
"46"	"full, binomial"	"cohab_dum_fam_or"	"0.98"	"0.09"	"0.8004"	"0.82"	"1.17"
"47"	"full, binomial"	"cohab_dum_cpl_child"	"0.96"	"0.09"	"0.6732"	"0.80"	"1.15"
"48"	"simplest, poisson"	"(Intercept)"	"11031.38"	"3.73"	"0.0126"	"7.38"	"16492192.31"
"49"	"simplest, poisson"	"policonsumo2"	"1.05"	"0.01"	"0.0002"	"1.02"	"1.08"
"50"	"simplest, poisson"	"edad_al_ing_1"	"0.99"	"0.00"	"0.0000"	"0.98"	"0.99"
"51"	"simplest, poisson"	"ano_nac_corr"	"1.00"	"0.00"	"0.0115"	"0.99"	"1.00"
"52"	"simplest, poisson"	"susinidum_oh"	"1.00"	"0.04"	"0.9619"	"0.93"	"1.07"
"53"	"simplest, poisson"	"susinidum_coc"	"1.05"	"0.04"	"0.2521"	"0.97"	"1.14"
"54"	"simplest, poisson"	"susinidum_pbc"	"1.03"	"0.04"	"0.5155"	"0.95"	"1.11"
"55"	"simplest, poisson"	"susinidum_mar"	"1.03"	"0.04"	"0.4116"	"0.96"	"1.10"
"56"	"simplest, poisson"	"psycom_dum_study"	"1.12"	"0.01"	"0.0000"	"1.09"	"1.15"
"57"	"simplest, poisson"	"psycom_dum_with"	"1.00"	"0.01"	"0.9291"	"0.98"	"1.02"
"58"	"simplest, poisson"	"freq_cons_dum_5day"	"1.02"	"0.01"	"0.0336"	"1.00"	"1.04"
"59"	"simplest, poisson"	"cond_oc_dum_2inact"	"0.96"	"0.01"	"0.0049"	"0.93"	"0.99"
"60"	"simplest, poisson"	"cond_oc_dum_3unemp"	"0.98"	"0.01"	"0.0712"	"0.96"	"1.00"
"61"	"simplest, poisson"	"susprindum_coc"	"1.04"	"0.02"	"0.0223"	"1.01"	"1.07"
"62"	"simplest, poisson"	"susprindum_pbc"	"1.06"	"0.01"	"0.0000"	"1.03"	"1.09"
"63"	"simplest, poisson"	"susprindum_mar"	"1.01"	"0.02"	"0.7884"	"0.96"	"1.05"
"64"	"full, poisson"	"(Intercept)"	"4555.97"	"3.75"	"0.0246"	"2.94"	"7055718.10"
"65"	"full, poisson"	"policonsumo2"	"1.05"	"0.01"	"0.0004"	"1.02"	"1.08"
"66"	"full, poisson"	"comp_bpsc_y2_moderate"	"1.05"	"0.02"	"0.0151"	"1.01"	"1.10"
"67"	"full, poisson"	"comp_bpsc_y3_severe"	"1.08"	"0.02"	"0.0009"	"1.03"	"1.12"
"68"	"full, poisson"	"edad_al_ing_1"	"0.99"	"0.00"	"0.0000"	"0.98"	"0.99"
"69"	"full, poisson"	"ano_nac_corr"	"1.00"	"0.00"	"0.0193"	"0.99"	"1.00"
"70"	"full, poisson"	"esc_dum_rec_3prim"	"1.10"	"0.02"	"0.0000"	"1.07"	"1.14"
"71"	"full, poisson"	"esc_dum_rec_2high"	"1.06"	"0.02"	"0.0001"	"1.03"	"1.10"
"72"	"full, poisson"	"susprindum_oh"	"1.15"	"0.06"	"0.0175"	"1.02"	"1.29"
"73"	"full, poisson"	"susprindum_coc"	"1.19"	"0.06"	"0.0027"	"1.06"	"1.34"
"74"	"full, poisson"	"susprindum_pbc"	"1.20"	"0.06"	"0.0017"	"1.07"	"1.34"
"75"	"full, poisson"	"susprindum_mar"	"1.15"	"0.06"	"0.0217"	"1.02"	"1.30"
"76"	"full, poisson"	"freq_cons_dum_5day"	"1.00"	"0.02"	"0.9698"	"0.95"	"1.05"
"77"	"full, poisson"	"freq_cons_dum_44to6wk"	"0.98"	"0.03"	"0.4860"	"0.93"	"1.03"
"78"	"full, poisson"	"freq_cons_dum_32to3wk"	"0.99"	"0.02"	"0.5346"	"0.94"	"1.03"
"79"	"full, poisson"	"freq_cons_dum_21wkmore"	"0.98"	"0.03"	"0.4651"	"0.92"	"1.04"
"80"	"full, poisson"	"cond_oc_dum_3unemp"	"0.98"	"0.01"	"0.0404"	"0.96"	"1.00"
"81"	"full, poisson"	"cond_oc_dum_2inact"	"0.95"	"0.01"	"0.0009"	"0.92"	"0.98"
"82"	"full, poisson"	"viv_dum_illegal"	"0.95"	"0.05"	"0.3466"	"0.86"	"1.06"
"83"	"full, poisson"	"viv_dum_own"	"1.01"	"0.03"	"0.7316"	"0.95"	"1.07"
"84"	"full, poisson"	"viv_dum_rent"	"1.01"	"0.03"	"0.6595"	"0.96"	"1.07"
"85"	"full, poisson"	"viv_dum_temp"	"1.01"	"0.03"	"0.7177"	"0.96"	"1.07"
"86"	"full, poisson"	"psycom_dum_with"	"1.00"	"0.01"	"0.9544"	"0.98"	"1.02"
"87"	"full, poisson"	"psycom_dum_study"	"1.12"	"0.01"	"0.0000"	"1.09"	"1.14"
"88"	"full, poisson"	"susinidum_oh"	"0.99"	"0.04"	"0.7609"	"0.92"	"1.06"
"89"	"full, poisson"	"susinidum_coc"	"1.04"	"0.04"	"0.3912"	"0.95"	"1.13"
"90"	"full, poisson"	"susinidum_pbc"	"1.01"	"0.04"	"0.8101"	"0.93"	"1.09"
"91"	"full, poisson"	"susinidum_mar"	"1.02"	"0.04"	"0.5858"	"0.95"	"1.09"
"92"	"full, poisson"	"cohab_dum_alone"	"1.02"	"0.02"	"0.4186"	"0.97"	"1.07"
"93"	"full, poisson"	"cohab_dum_fam_or"	"0.99"	"0.02"	"0.6982"	"0.96"	"1.03"
"94"	"full, poisson"	"cohab_dum_cpl_child"	"0.99"	"0.02"	"0.6640"	"0.95"	"1.03"
