"characteristic"	"level"	"Overall"	"0"	"1"	"p"	"test"	"SMD"
"39"	"Macro Administrative Zone in Chile (%)"	"North"	"10690 (14.8)"	"1882 (10.1)"	"8808 (16.4)"	""	""	""
"40"	"Macro Administrative Zone in Chile (%)"	"South"	"6833 (9.4)"	"2835 (15.2)"	"3998 (7.4)"	""	""	""
"41"	"Macro Administrative Zone in Chile (%)"	"[Missing]"	"17 (0.0)"	"2 (0.0)"	"15 (0.0)"	""	""	""
"42"	"Psychiatric Comorbidity (ICD-10) (%)"	"Without psychiatric comorbidity"	"28308 (39.1)"	"8542 (45.7)"	"19766 (36.8)"	"<0.001"	""	"0.187"
"43"	"Psychiatric Comorbidity (ICD-10) (%)"	"Diagnosis unknown (under study)"	"13616 (18.8)"	"2918 (15.6)"	"10698 (19.9)"	""	""	""
"44"	"Psychiatric Comorbidity (ICD-10) (%)"	"With psychiatric comorbidity"	"30480 (42.1)"	"7247 (38.7)"	"23233 (43.3)"	""	""	""
"45"	"SUD Severity (Dependence status) (%)"	"Drug dependence"	"52416 (72.4)"	"11498 (61.5)"	"40918 (76.2)"	"<0.001"	""	"0.322"
"46"	"SUD Severity (Dependence status) (%)"	"Hazardous consumption"	"19987 (27.6)"	"7208 (38.5)"	"12779 (23.8)"	""	""	""
"47"	"SUD Severity (Dependence status) (%)"	"[Missing]"	"1 (0.0)"	"1 (0.0)"	"0 (0.0)"	""	""	""
"48"	"clas_r (%)"	"Mixed"	"6938 (9.6)"	"2359 (12.6)"	"4579 (8.5)"	"<0.001"	""	"0.267"
"49"	"clas_r (%)"	"Rural"	"5861 (8.1)"	"2382 (12.7)"	"3479 (6.5)"	""	""	""
"50"	"clas_r (%)"	"Urban"	"59603 (82.3)"	"13965 (74.7)"	"45638 (85.0)"	""	""	""
"51"	"clas_r (%)"	"[Missing]"	"2 (0.0)"	"1 (0.0)"	"1 (0.0)"	""	""	""
"52"	"Percentage of people in poverty (median [IQR])"	""	"0.12 [0.07, 0.17]"	"0.11 [0.07, 0.16]"	"0.12 [0.08, 0.17]"	"<0.001"	"nonnorm"	"0.105"
"53"	"Primary Substance (initial diagnosis) (%)"	"Alcohol"	"39227 (54.2)"	"12844 (68.7)"	"26383 (49.1)"	"<0.001"	""	"0.506"
"54"	"Primary Substance (initial diagnosis) (%)"	"Cocaine hydrochloride"	"2681 (3.7)"	"769 (4.1)"	"1912 (3.6)"	""	""	""
"55"	"Primary Substance (initial diagnosis) (%)"	"Cocaine paste"	"3401 (4.7)"	"1149 (6.1)"	"2252 (4.2)"	""	""	""
"56"	"Primary Substance (initial diagnosis) (%)"	"Marijuana"	"19644 (27.1)"	"2589 (13.8)"	"17055 (31.8)"	""	""	""
"57"	"Primary Substance (initial diagnosis) (%)"	"Other"	"1648 (2.3)"	"457 (2.4)"	"1191 (2.2)"	""	""	""
"58"	"Primary Substance (initial diagnosis) (%)"	"[Missing]"	"5803 (8.0)"	"899 (4.8)"	"4904 (9.1)"	""	""	""
"59"	"Corrected birth year (median [IQR])"	""	"1980.00 [1971.00, 1987.00]"	"1973.00 [1964.00, 1983.00]"	"1981.00 [1974.00, 1988.00]"	"<0.001"	"nonnorm"	"0.623"
"60"	"Cohabitation status (Recoded) (f) (%)"	"Alone"	"6816 (9.4)"	"2276 (12.2)"	"4540 (8.5)"	"<0.001"	""	"0.337"
"61"	"Cohabitation status (Recoded) (f) (%)"	"Family of origin"	"30074 (41.5)"	"5648 (30.2)"	"24426 (45.5)"	""	""	""
"62"	"Cohabitation status (Recoded) (f) (%)"	"Others"	"6224 (8.6)"	"1520 (8.1)"	"4704 (8.8)"	""	""	""
"63"	"Cohabitation status (Recoded) (f) (%)"	"With couple/children"	"29289 (40.5)"	"9262 (49.5)"	"20027 (37.3)"	""	""	""
"64"	"Cohabitation status (Recoded) (f) (%)"	"[Missing]"	"1 (0.0)"	"1 (0.0)"	"0 (0.0)"	""	""	""
"65"	"Physical Comorbidity (ICD-10) (%)"	"Without physical comorbidity"	"28661 (39.6)"	"6946 (37.1)"	"21715 (40.4)"	"<0.001"	""	"0.085"
"66"	"Physical Comorbidity (ICD-10) (%)"	"Diagnosis unknown (under study)"	"39215 (54.2)"	"10372 (55.4)"	"28843 (53.7)"	""	""	""
"67"	"Physical Comorbidity (ICD-10) (%)"	"One or more"	"4528 (6.3)"	"1389 (7.4)"	"3139 (5.8)"	""	""	""
"68"	"Biopsychosocial compromise (%)"	"1-Mild"	"6954 (9.6)"	"3231 (17.3)"	"3723 (6.9)"	"<0.001"	""	"0.418"
"69"	"Biopsychosocial compromise (%)"	"2-Moderate"	"41015 (56.6)"	"11147 (59.6)"	"29868 (55.6)"	""	""	""
"70"	"Biopsychosocial compromise (%)"	"3-Severe"	"22998 (31.8)"	"3909 (20.9)"	"19089 (35.5)"	""	""	""
"71"	"Biopsychosocial compromise (%)"	"[Missing]"	"1437 (2.0)"	"420 (2.2)"	"1017 (1.9)"	""	""	""
"72"	"Treatment Admission Motive (%)"	"Spontaneous"	"32847 (45.4)"	"8462 (45.2)"	"24385 (45.4)"	"<0.001"	""	"0.191"
"73"	"Treatment Admission Motive (%)"	"Assisted Referral"	"6753 (9.3)"	"1222 (6.5)"	"5531 (10.3)"	""	""	""
"74"	"Treatment Admission Motive (%)"	"Other"	"3935 (5.4)"	"984 (5.3)"	"2951 (5.5)"	""	""	""
"75"	"Treatment Admission Motive (%)"	"Justice Sector"	"6813 (9.4)"	"2380 (12.7)"	"4433 (8.3)"	""	""	""
"76"	"Treatment Admission Motive (%)"	"Health Sector"	"22056 (30.5)"	"5659 (30.3)"	"16397 (30.5)"	""	""	""
"77"	"tipo_centro_pub (%)"	"FALSE"	"20677 (28.6)"	"2806 (15.0)"	"17871 (33.3)"	"<0.001"	""	"0.438"
"78"	"tipo_centro_pub (%)"	"TRUE"	"51710 (71.4)"	"15899 (85.0)"	"35811 (66.7)"	""	""	""
"79"	"tipo_centro_pub (%)"	"[Missing]"	"17 (0.0)"	"2 (0.0)"	"15 (0.0)"	""	""	""
