"model"	"term"	"estimate"	"std.error"	"p.value"	"conf.low"	"conf.high"
"20"	"full, binomial"	"comp_bpsc_y3_severe"	"0.83"	"0.07"	"0.0048"	"0.73"	"0.94"
"21"	"full, binomial"	"edad_al_ing_1"	"1.00"	"0.01"	"0.5152"	"0.99"	"1.02"
"22"	"full, binomial"	"ano_nac_corr"	"1.03"	"0.01"	"0.0000"	"1.02"	"1.05"
"23"	"full, binomial"	"esc_dum_rec_3prim"	"1.59"	"0.05"	"0.0000"	"1.44"	"1.77"
"24"	"full, binomial"	"esc_dum_rec_2high"	"1.31"	"0.05"	"0.0000"	"1.20"	"1.44"
"25"	"full, binomial"	"susprindum_oh"	"1.40"	"0.12"	"0.0075"	"1.09"	"1.78"
"26"	"full, binomial"	"susprindum_coc"	"1.48"	"0.13"	"0.0020"	"1.15"	"1.90"
"27"	"full, binomial"	"susprindum_pbc"	"1.75"	"0.12"	"0.0000"	"1.38"	"2.23"
"28"	"full, binomial"	"susprindum_mar"	"1.44"	"0.14"	"0.0092"	"1.09"	"1.89"
"29"	"full, binomial"	"freq_cons_dum_5day"	"1.10"	"0.08"	"0.2672"	"0.93"	"1.30"
"30"	"full, binomial"	"freq_cons_dum_44to6wk"	"1.14"	"0.09"	"0.1451"	"0.96"	"1.36"
"31"	"full, binomial"	"freq_cons_dum_32to3wk"	"1.10"	"0.09"	"0.2524"	"0.93"	"1.31"
"32"	"full, binomial"	"freq_cons_dum_21wkmore"	"1.06"	"0.11"	"0.5514"	"0.87"	"1.31"
"33"	"full, binomial"	"cond_oc_dum_3unemp"	"0.84"	"0.04"	"0.0000"	"0.78"	"0.91"
"34"	"full, binomial"	"cond_oc_dum_2inact"	"0.76"	"0.05"	"0.0000"	"0.69"	"0.83"
"35"	"full, binomial"	"viv_dum_illegal"	"0.84"	"0.16"	"0.2877"	"0.62"	"1.15"
"36"	"full, binomial"	"viv_dum_own"	"0.94"	"0.10"	"0.5571"	"0.78"	"1.15"
"37"	"full, binomial"	"viv_dum_rent"	"1.00"	"0.10"	"0.9956"	"0.82"	"1.23"
"38"	"full, binomial"	"viv_dum_temp"	"1.02"	"0.10"	"0.8743"	"0.84"	"1.23"
"39"	"full, binomial"	"psycom_dum_with"	"1.13"	"0.04"	"0.0007"	"1.05"	"1.21"
"40"	"full, binomial"	"psycom_dum_study"	"3.10"	"0.05"	"0.0000"	"2.81"	"3.43"
"41"	"full, binomial"	"susinidum_oh"	"0.84"	"0.11"	"0.1121"	"0.68"	"1.04"
"42"	"full, binomial"	"susinidum_coc"	"0.87"	"0.13"	"0.2998"	"0.67"	"1.13"
"43"	"full, binomial"	"susinidum_pbc"	"1.09"	"0.12"	"0.4677"	"0.86"	"1.38"
"44"	"full, binomial"	"susinidum_mar"	"0.96"	"0.11"	"0.7435"	"0.78"	"1.20"
"45"	"full, binomial"	"cohab_dum_alone"	"0.97"	"0.08"	"0.7058"	"0.83"	"1.13"
"46"	"full, binomial"	"cohab_dum_fam_or"	"0.96"	"0.06"	"0.4508"	"0.85"	"1.08"
"47"	"full, binomial"	"cohab_dum_cpl_child"	"1.08"	"0.06"	"0.1920"	"0.96"	"1.23"
"48"	"simplest, poisson"	"(Intercept)"	"0.00"	"3.12"	"0.0000"	"0.00"	"0.00"
"49"	"simplest, poisson"	"policonsumo2"	"1.01"	"0.01"	"0.1631"	"0.99"	"1.03"
"50"	"simplest, poisson"	"edad_al_ing_1"	"1.00"	"0.00"	"0.5212"	"1.00"	"1.00"
"51"	"simplest, poisson"	"ano_nac_corr"	"1.01"	"0.00"	"0.0000"	"1.01"	"1.01"
"52"	"simplest, poisson"	"susinidum_oh"	"0.97"	"0.02"	"0.2002"	"0.93"	"1.02"
"53"	"simplest, poisson"	"susinidum_coc"	"0.98"	"0.03"	"0.3962"	"0.92"	"1.03"
"54"	"simplest, poisson"	"susinidum_pbc"	"1.03"	"0.03"	"0.3328"	"0.98"	"1.08"
"55"	"simplest, poisson"	"susinidum_mar"	"0.99"	"0.02"	"0.8315"	"0.95"	"1.04"
"56"	"simplest, poisson"	"psycom_dum_study"	"1.21"	"0.01"	"0.0000"	"1.19"	"1.23"
"57"	"simplest, poisson"	"psycom_dum_with"	"1.02"	"0.01"	"0.0252"	"1.00"	"1.04"
"58"	"simplest, poisson"	"freq_cons_dum_5day"	"0.99"	"0.01"	"0.0890"	"0.97"	"1.00"
"59"	"simplest, poisson"	"cond_oc_dum_2inact"	"0.93"	"0.01"	"0.0000"	"0.91"	"0.95"
"60"	"simplest, poisson"	"cond_oc_dum_3unemp"	"0.95"	"0.01"	"0.0000"	"0.93"	"0.96"
"61"	"simplest, poisson"	"susprindum_coc"	"1.02"	"0.01"	"0.1034"	"1.00"	"1.05"
"62"	"simplest, poisson"	"susprindum_pbc"	"1.07"	"0.01"	"0.0000"	"1.05"	"1.09"
"63"	"simplest, poisson"	"susprindum_mar"	"1.03"	"0.02"	"0.1441"	"0.99"	"1.06"
"64"	"full, poisson"	"(Intercept)"	"0.00"	"3.11"	"0.0000"	"0.00"	"0.00"
"65"	"full, poisson"	"policonsumo2"	"1.02"	"0.01"	"0.0206"	"1.00"	"1.04"
"66"	"full, poisson"	"comp_bpsc_y2_moderate"	"1.00"	"0.01"	"0.7887"	"0.98"	"1.03"
"67"	"full, poisson"	"comp_bpsc_y3_severe"	"0.96"	"0.02"	"0.0062"	"0.93"	"0.99"
"68"	"full, poisson"	"edad_al_ing_1"	"1.00"	"0.00"	"0.9655"	"1.00"	"1.00"
"69"	"full, poisson"	"ano_nac_corr"	"1.01"	"0.00"	"0.0000"	"1.00"	"1.01"
"70"	"full, poisson"	"esc_dum_rec_3prim"	"1.12"	"0.01"	"0.0000"	"1.09"	"1.15"
"71"	"full, poisson"	"esc_dum_rec_2high"	"1.07"	"0.01"	"0.0000"	"1.05"	"1.10"
"72"	"full, poisson"	"susprindum_oh"	"1.13"	"0.04"	"0.0064"	"1.03"	"1.23"
"73"	"full, poisson"	"susprindum_coc"	"1.15"	"0.04"	"0.0013"	"1.06"	"1.25"
"74"	"full, poisson"	"susprindum_pbc"	"1.19"	"0.04"	"0.0000"	"1.10"	"1.30"
"75"	"full, poisson"	"susprindum_mar"	"1.14"	"0.05"	"0.0032"	"1.05"	"1.25"
"76"	"full, poisson"	"freq_cons_dum_5day"	"1.02"	"0.02"	"0.2851"	"0.98"	"1.06"
"77"	"full, poisson"	"freq_cons_dum_44to6wk"	"1.03"	"0.02"	"0.1569"	"0.99"	"1.07"
"78"	"full, poisson"	"freq_cons_dum_32to3wk"	"1.02"	"0.02"	"0.2566"	"0.98"	"1.06"
"79"	"full, poisson"	"freq_cons_dum_21wkmore"	"1.02"	"0.02"	"0.4895"	"0.97"	"1.07"
"80"	"full, poisson"	"cond_oc_dum_3unemp"	"0.96"	"0.01"	"0.0000"	"0.94"	"0.98"
"81"	"full, poisson"	"cond_oc_dum_2inact"	"0.93"	"0.01"	"0.0000"	"0.92"	"0.95"
"82"	"full, poisson"	"viv_dum_illegal"	"0.96"	"0.04"	"0.3058"	"0.89"	"1.04"
"83"	"full, poisson"	"viv_dum_own"	"0.98"	"0.02"	"0.4756"	"0.94"	"1.03"
"84"	"full, poisson"	"viv_dum_rent"	"1.00"	"0.02"	"0.9581"	"0.96"	"1.04"
"85"	"full, poisson"	"viv_dum_temp"	"1.00"	"0.02"	"0.9703"	"0.96"	"1.04"
"86"	"full, poisson"	"psycom_dum_with"	"1.03"	"0.01"	"0.0026"	"1.01"	"1.05"
"87"	"full, poisson"	"psycom_dum_study"	"1.21"	"0.01"	"0.0000"	"1.19"	"1.23"
"88"	"full, poisson"	"susinidum_oh"	"0.96"	"0.02"	"0.0955"	"0.92"	"1.01"
"89"	"full, poisson"	"susinidum_coc"	"0.97"	"0.03"	"0.2577"	"0.91"	"1.02"
"90"	"full, poisson"	"susinidum_pbc"	"1.01"	"0.03"	"0.6223"	"0.96"	"1.07"
"91"	"full, poisson"	"susinidum_mar"	"0.99"	"0.02"	"0.6093"	"0.94"	"1.04"
"92"	"full, poisson"	"cohab_dum_alone"	"0.99"	"0.02"	"0.6427"	"0.96"	"1.03"
"93"	"full, poisson"	"cohab_dum_fam_or"	"0.99"	"0.01"	"0.4050"	"0.96"	"1.02"
"94"	"full, poisson"	"cohab_dum_cpl_child"	"1.02"	"0.01"	"0.1927"	"0.99"	"1.05"
