"term_label"	"model"	"term"	"estimate"	"conf.low"	"conf.high"
"28"	"Primary substance (initial diagnosis), cocaine (recoded for interaction with time)"	"After PH"	"susinidum_coc_rec2"	"1.04"	"0.94"	"1.15"
"29"	"Primary substance (initial diagnosis), other"	"After PH"	"susinidumrec_otr"	"1.00"	"0.89"	"1.12"
"30"	"Primary substance (initial diagnosis), cocaine base paste"	"After PH"	"susinidumrec_pbc"	"1.14"	"1.07"	"1.21"
"31"	"Primary substance (initial diagnosis), marijuana"	"After PH"	"susinidumrec_mar"	"1.13"	"1.09"	"1.17"
"32"	"Psychiatric comorbidity (confirmed comorbidity, recoded for interaction with time)"	"After PH"	"psycom_dum_with_rec2"	"1.05"	"1.01"	"1.09"
"33"	"Psychiatric comorbidity (diagnosis unknown or under study)"	"After PH"	"psycom_dum_study"	"1.17"	"1.12"	"1.23"
"34"	"Daily frequence of primary substance use at admission"	"After PH"	"freq_cons_dum_5day"	"1.05"	"1.02"	"1.09"
"35"	"Occupational status (inactive)"	"After PH"	"cond_oc_dum_2inact"	"1.08"	"1.03"	"1.13"
"36"	"Occupational status (unemployed)"	"After PH"	"cond_oc_dum_3unemp"	"1.10"	"1.06"	"1.14"
"37"	"Primary substance at admission to treatment (cocaine hydrochloride)"	"After PH"	"susprindumrec_coc"	"0.98"	"0.93"	"1.04"
"38"	"Primary substance at admission to treatment (cocaine base paste)"	"After PH"	"susprindumrec_pbc"	"1.05"	"1.00"	"1.10"
"39"	"Primary substance at admission to treatment (marijuana)"	"After PH"	"susprindumrec_mar"	"0.95"	"0.88"	"1.03"
"40"	"Primary substance at admission to treatment (other)"	"After PH"	"susprindumrec_otr"	"1.00"	"0.87"	"1.14"
"41"	"Treatment outcome of the previous treatment"	"Stratifying"	"lag_tr_outcome"	"1.15"	"1.11"	"1.19"
"42"	"Previous biopsychosocial compromise (severe)"	"Stratifying"	"lag_comp_bpsc_y3_severe"	"1.05"	"1.02"	"1.09"
"43"	"Previous treatment duration (<90 days)"	"Stratifying"	"lag_less_90d_tr1"	"1.11"	"1.06"	"1.17"
"44"	"Previous treatment duration (in logarithmic scaled days)"	"Stratifying"	"log_lag_dias_treat_imp_sin_na"	"0.98"	"0.96"	"1.00"
"45"	"Polysubstance use status of the previous treatment"	"Stratifying"	"lag_policonsumo2"	"0.98"	"0.94"	"1.02"
"46"	"Age at admission to treatment"	"Stratifying"	"edad_al_ing_1"	"1.22"	"1.21"	"1.23"
"47"	"Birth year"	"Stratifying"	"ano_nac_corr"	"1.22"	"1.21"	"1.23"
"48"	"Primary substance (initial diagnosis), other"	"Stratifying"	"susinidumrec_otr"	"0.96"	"0.87"	"1.05"
"49"	"Primary substance (initial diagnosis), cocaine"	"Stratifying"	"susinidumrec_coc"	"1.07"	"0.99"	"1.15"
"50"	"Primary substance (initial diagnosis), cocaine base paste"	"Stratifying"	"susinidumrec_pbc"	"1.10"	"1.04"	"1.17"
"51"	"Primary substance (initial diagnosis), marijuana"	"Stratifying"	"susinidumrec_mar"	"1.12"	"1.09"	"1.16"
"52"	"Psychiatric comorbidity (diagnosis unknown or under study)"	"Stratifying"	"psycom_dum_study"	"1.01"	"0.97"	"1.06"
"53"	"Psychiatric comorbidity (confirmed comorbidity)"	"Stratifying"	"psycom_dum_with"	"1.01"	"0.98"	"1.05"
"54"	"Daily frequence of primary substance use at admission"	"Stratifying"	"freq_cons_dum_5day"	"1.01"	"0.98"	"1.04"
"55"	"Occupational status (inactive)"	"Stratifying"	"cond_oc_dum_2inact"	"1.08"	"1.03"	"1.13"
"56"	"Occupational status (unemployed)"	"Stratifying"	"cond_oc_dum_3unemp"	"1.09"	"1.05"	"1.13"
"57"	"Primary substance at admission to treatment (cocaine hydrochloride)"	"Stratifying"	"susprindumrec_coc"	"1.00"	"0.96"	"1.05"
"58"	"Primary substance at admission to treatment (cocaine base paste)"	"Stratifying"	"susprindumrec_pbc"	"1.02"	"0.98"	"1.06"
"59"	"Primary substance at admission to treatment (marijuana)"	"Stratifying"	"susprindumrec_mar"	"1.00"	"0.93"	"1.08"
"60"	"Primary substance at admission to treatment (other)"	"Stratifying"	"susprindumrec_otr"	"1.08"	"0.95"	"1.24"
"61"	"Treatment outcome of the previous treatment"	"Stratifying, alt strata"	"lag_tr_outcome"	"1.05"	"1.01"	"1.09"
"62"	"Previous biopsychosocial compromise (severe)"	"Stratifying, alt strata"	"lag_comp_bpsc_y3_severe"	"1.02"	"0.99"	"1.06"
"63"	"Previous treatment duration (<90 days)"	"Stratifying, alt strata"	"lag_less_90d_tr1"	"1.04"	"0.99"	"1.09"
"64"	"Previous treatment duration (in logarithmic scaled days)"	"Stratifying, alt strata"	"log_lag_dias_treat_imp_sin_na"	"0.97"	"0.96"	"0.99"
"65"	"Polysubstance use status of the previous treatment"	"Stratifying, alt strata"	"lag_policonsumo2"	"0.99"	"0.95"	"1.03"
"66"	"Age at admission to treatment"	"Stratifying, alt strata"	"edad_al_ing_1"	"1.05"	"1.05"	"1.06"
"67"	"Birth year"	"Stratifying, alt strata"	"ano_nac_corr"	"1.05"	"1.05"	"1.06"
"68"	"Primary substance (initial diagnosis), other"	"Stratifying, alt strata"	"susinidumrec_otr"	"1.03"	"0.93"	"1.14"
"69"	"Primary substance (initial diagnosis), cocaine"	"Stratifying, alt strata"	"susinidumrec_coc"	"1.10"	"1.02"	"1.18"
"70"	"Primary substance (initial diagnosis), cocaine base paste"	"Stratifying, alt strata"	"susinidumrec_pbc"	"1.02"	"0.97"	"1.08"
"71"	"Primary substance (initial diagnosis), marijuana"	"Stratifying, alt strata"	"susinidumrec_mar"	"1.02"	"0.99"	"1.06"
"72"	"Psychiatric comorbidity (diagnosis unknown or under study)"	"Stratifying, alt strata"	"psycom_dum_study"	"1.00"	"0.96"	"1.05"
"73"	"Psychiatric comorbidity (confirmed comorbidity)"	"Stratifying, alt strata"	"psycom_dum_with"	"0.98"	"0.95"	"1.01"
"74"	"Daily frequence of primary substance use at admission"	"Stratifying, alt strata"	"freq_cons_dum_5day"	"1.02"	"0.99"	"1.05"
"75"	"Occupational status (inactive)"	"Stratifying, alt strata"	"cond_oc_dum_2inact"	"0.99"	"0.94"	"1.03"
"76"	"Occupational status (unemployed)"	"Stratifying, alt strata"	"cond_oc_dum_3unemp"	"1.02"	"0.99"	"1.06"
"77"	"Primary substance at admission to treatment (other)"	"Stratifying, alt strata"	"susprindumrec_otr"	"0.92"	"0.80"	"1.06"
"78"	"Primary substance at admission to treatment (cocaine hydrochloride)"	"Stratifying, alt strata"	"susprindumrec_coc"	"0.98"	"0.93"	"1.03"
"79"	"Primary substance at admission to treatment (cocaine base paste)"	"Stratifying, alt strata"	"susprindumrec_pbc"	"0.98"	"0.94"	"1.03"
"80"	"Primary substance at admission to treatment (marijuana)"	"Stratifying, alt strata"	"susprindumrec_mar"	"0.99"	"0.92"	"1.06"
