"model"	"term"	"estimate"	"std.error"	"p.value"	"conf.low"	"conf.high"
"49"	"simplest, poisson"	"policonsumo2"	"1.04"	"0.02"	"0.0074"	"1.01"	"1.07"
"50"	"simplest, poisson"	"edad_al_ing_1"	"0.99"	"0.00"	"0.0000"	"0.99"	"0.99"
"51"	"simplest, poisson"	"ano_nac_corr"	"1.00"	"0.00"	"0.4068"	"0.99"	"1.00"
"52"	"simplest, poisson"	"susinidum_oh"	"1.01"	"0.04"	"0.8881"	"0.93"	"1.09"
"53"	"simplest, poisson"	"susinidum_coc"	"0.99"	"0.05"	"0.7822"	"0.89"	"1.09"
"54"	"simplest, poisson"	"susinidum_pbc"	"1.03"	"0.04"	"0.5505"	"0.94"	"1.12"
"55"	"simplest, poisson"	"susinidum_mar"	"1.03"	"0.04"	"0.5218"	"0.95"	"1.11"
"56"	"simplest, poisson"	"psycom_dum_study"	"1.17"	"0.01"	"0.0000"	"1.14"	"1.20"
"57"	"simplest, poisson"	"psycom_dum_with"	"1.02"	"0.01"	"0.2002"	"0.99"	"1.05"
"58"	"simplest, poisson"	"freq_cons_dum_5day"	"1.01"	"0.01"	"0.5387"	"0.98"	"1.03"
"59"	"simplest, poisson"	"cond_oc_dum_2inact"	"0.94"	"0.02"	"0.0003"	"0.90"	"0.97"
"60"	"simplest, poisson"	"cond_oc_dum_3unemp"	"0.98"	"0.01"	"0.1067"	"0.96"	"1.00"
"61"	"simplest, poisson"	"susprindum_coc"	"1.07"	"0.02"	"0.0006"	"1.03"	"1.11"
"62"	"simplest, poisson"	"susprindum_pbc"	"1.11"	"0.02"	"0.0000"	"1.07"	"1.14"
"63"	"simplest, poisson"	"susprindum_mar"	"1.02"	"0.03"	"0.4383"	"0.97"	"1.08"
"64"	"full, poisson"	"(Intercept)"	"107.63"	"4.56"	"0.3054"	"0.01"	"826824.89"
"65"	"full, poisson"	"policonsumo2"	"1.04"	"0.02"	"0.0089"	"1.01"	"1.07"
"66"	"full, poisson"	"comp_bpsc_y2_moderate"	"1.05"	"0.03"	"0.0647"	"1.00"	"1.11"
"67"	"full, poisson"	"comp_bpsc_y3_severe"	"1.06"	"0.03"	"0.0419"	"1.00"	"1.12"
"68"	"full, poisson"	"edad_al_ing_1"	"0.99"	"0.00"	"0.0000"	"0.98"	"0.99"
"69"	"full, poisson"	"ano_nac_corr"	"1.00"	"0.00"	"0.2625"	"0.99"	"1.00"
"70"	"full, poisson"	"esc_dum_rec_3prim"	"1.12"	"0.02"	"0.0000"	"1.07"	"1.16"
"71"	"full, poisson"	"esc_dum_rec_2high"	"1.08"	"0.02"	"0.0001"	"1.04"	"1.12"
"72"	"full, poisson"	"susprindum_oh"	"1.24"	"0.07"	"0.0033"	"1.07"	"1.42"
"73"	"full, poisson"	"susprindum_coc"	"1.32"	"0.07"	"0.0001"	"1.14"	"1.52"
"74"	"full, poisson"	"susprindum_pbc"	"1.34"	"0.07"	"0.0000"	"1.17"	"1.54"
"75"	"full, poisson"	"susprindum_mar"	"1.25"	"0.07"	"0.0027"	"1.08"	"1.44"
"76"	"full, poisson"	"freq_cons_dum_5day"	"0.98"	"0.03"	"0.4672"	"0.93"	"1.03"
"77"	"full, poisson"	"freq_cons_dum_44to6wk"	"0.98"	"0.03"	"0.4548"	"0.92"	"1.04"
"78"	"full, poisson"	"freq_cons_dum_32to3wk"	"0.98"	"0.03"	"0.4348"	"0.93"	"1.03"
"79"	"full, poisson"	"freq_cons_dum_21wkmore"	"0.93"	"0.04"	"0.0527"	"0.87"	"1.00"
"80"	"full, poisson"	"cond_oc_dum_3unemp"	"0.98"	"0.01"	"0.0916"	"0.95"	"1.00"
"81"	"full, poisson"	"cond_oc_dum_2inact"	"0.93"	"0.02"	"0.0001"	"0.90"	"0.97"
"82"	"full, poisson"	"viv_dum_illegal"	"0.96"	"0.06"	"0.5467"	"0.86"	"1.09"
"83"	"full, poisson"	"viv_dum_own"	"1.03"	"0.04"	"0.4716"	"0.96"	"1.10"
"84"	"full, poisson"	"viv_dum_rent"	"1.05"	"0.04"	"0.2039"	"0.97"	"1.13"
"85"	"full, poisson"	"viv_dum_temp"	"1.04"	"0.04"	"0.2193"	"0.97"	"1.12"
"86"	"full, poisson"	"psycom_dum_with"	"1.02"	"0.01"	"0.2030"	"0.99"	"1.05"
"87"	"full, poisson"	"psycom_dum_study"	"1.16"	"0.01"	"0.0000"	"1.13"	"1.20"
"88"	"full, poisson"	"susinidum_oh"	"0.98"	"0.04"	"0.5391"	"0.90"	"1.06"
"89"	"full, poisson"	"susinidum_coc"	"0.96"	"0.05"	"0.3652"	"0.87"	"1.05"
"90"	"full, poisson"	"susinidum_pbc"	"0.99"	"0.04"	"0.8008"	"0.91"	"1.08"
"91"	"full, poisson"	"susinidum_mar"	"1.00"	"0.04"	"0.9359"	"0.92"	"1.08"
"92"	"full, poisson"	"cohab_dum_alone"	"1.02"	"0.03"	"0.5016"	"0.96"	"1.08"
"93"	"full, poisson"	"cohab_dum_fam_or"	"0.99"	"0.02"	"0.7823"	"0.95"	"1.04"
"94"	"full, poisson"	"cohab_dum_cpl_child"	"0.99"	"0.02"	"0.7209"	"0.95"	"1.04"
