"w"	"term"	"HR"	"lo_95ci"	"up_95ci"	"p.value"
"27"	"i2"	"comp_bpsc_y3_severe.lag"	"0.53"	"0.50"	"0.56"	"<0.001"
"28"	"i2"	"less_90d_tr1.lag"	"1.18"	"1.13"	"1.23"	"<0.001"
"29"	"i2"	"policonsumo2.lag"	"0.61"	"0.59"	"0.63"	"<0.001"
"30"	"i2"	"treatment"	"0.77"	"0.74"	"0.79"	"<0.001"
"31"	"i3"	"tr_outcome.lag"	"0.75"	"0.72"	"0.78"	"<0.001"
"32"	"i3"	"comp_bpsc_y2_moderate.lag"	"0.40"	"0.39"	"0.42"	"<0.001"
"33"	"i3"	"comp_bpsc_y3_severe.lag"	"0.45"	"0.43"	"0.48"	"<0.001"
"34"	"i3"	"less_90d_tr1.lag"	"1.12"	"1.08"	"1.17"	"<0.001"
"35"	"i3"	"policonsumo2.lag"	"0.56"	"0.54"	"0.58"	"<0.001"
"36"	"i3"	"policonsumo2"	"1.18"	"1.16"	"1.20"	"<0.001"
"37"	"i3b"	"tr_outcome.lag"	"1.19"	"1.15"	"1.23"	"<0.001"
"38"	"i3b"	"comp_bpsc_y2_moderate.lag"	"1.00"	"0.94"	"1.06"	"0.978"
"39"	"i3b"	"comp_bpsc_y3_severe.lag"	"1.81"	"1.71"	"1.91"	"<0.001"
"40"	"i3b"	"less_90d_tr1.lag"	"2.35"	"2.28"	"2.41"	"<0.001"
"41"	"i3b"	"policonsumo2.lag"	"1.13"	"1.09"	"1.18"	"<0.001"
"42"	"i3b"	"policonsumo2"	"1.06"	"1.05"	"1.08"	"<0.001"
"43"	"i4"	"tr_outcome.lag"	"0.81"	"0.78"	"0.84"	"<0.001"
"44"	"i4"	"comp_bpsc_y2_moderate.lag"	"0.45"	"0.43"	"0.48"	"<0.001"
"45"	"i4"	"comp_bpsc_y3_severe.lag"	"0.53"	"0.50"	"0.56"	"<0.001"
"46"	"i4"	"less_90d_tr1.lag"	"1.18"	"1.13"	"1.23"	"<0.001"
"47"	"i4"	"policonsumo2.lag"	"0.61"	"0.59"	"0.63"	"<0.001"
"48"	"i4"	"treatment.lag"	"0.77"	"0.74"	"0.79"	"<0.001"
"49"	"i4b"	"tr_outcome.lag"	"1.23"	"1.18"	"1.28"	"<0.001"
"50"	"i4b"	"comp_bpsc_y2_moderate.lag"	"1.00"	"0.94"	"1.07"	"0.883"
"51"	"i4b"	"comp_bpsc_y3_severe.lag"	"4.21"	"3.96"	"4.47"	"<0.001"
"52"	"i4b"	"less_90d_tr1.lag"	"3.55"	"3.47"	"3.64"	"<0.001"
"53"	"i4b"	"policonsumo2.lag"	"2.32"	"2.22"	"2.41"	"<0.001"
"54"	"i4b"	"treatment.lag"	"1.16"	"1.12"	"1.19"	"<0.001"
"55"	"i4c"	"tr_outcome.lag"	"1.08"	"1.05"	"1.11"	"<0.001"
"56"	"i4c"	"comp_bpsc_y2_moderate.lag"	"0.82"	"0.78"	"0.86"	"<0.001"
"57"	"i4c"	"comp_bpsc_y3_severe.lag"	"0.97"	"0.92"	"1.02"	"0.223"
"58"	"i4c"	"less_90d_tr1.lag"	"1.10"	"1.06"	"1.13"	"<0.001"
"59"	"i4c"	"policonsumo2.lag"	"0.91"	"0.88"	"0.94"	"<0.001"
"60"	"i4c"	"treatment.lag"	"0.21"	"0.20"	"0.23"	"<0.001"
"61"	"i4d"	"tr_outcome.lag"	"1.14"	"1.11"	"1.18"	"<0.001"
"62"	"i4d"	"comp_bpsc_y2_moderate.lag"	"1.00"	"0.96"	"1.05"	"0.882"
"63"	"i4d"	"comp_bpsc_y3_severe.lag"	"1.62"	"1.54"	"1.70"	"<0.001"
"64"	"i4d"	"less_90d_tr1.lag"	"1.80"	"1.75"	"1.85"	"<0.001"
"65"	"i4d"	"policonsumo2.lag"	"1.11"	"1.07"	"1.15"	"<0.001"
"66"	"i4d"	"treatment.lag"	"0.26"	"0.24"	"0.28"	"<0.001"
"67"	"i5"	"tr_outcome.lag"	"0.75"	"0.72"	"0.78"	"<0.001"
"68"	"i5"	"comp_bpsc_y2_moderate.lag"	"0.40"	"0.39"	"0.42"	"<0.001"
"69"	"i5"	"comp_bpsc_y3_severe.lag"	"0.45"	"0.43"	"0.48"	"<0.001"
"70"	"i5"	"less_90d_tr1.lag"	"1.12"	"1.08"	"1.17"	"<0.001"
"71"	"i5"	"policonsumo2.lag"	"0.56"	"0.54"	"0.58"	"<0.001"
"72"	"i5"	"policonsumo2"	"1.18"	"1.16"	"1.20"	"<0.001"
"73"	"i5b"	"tr_outcome.lag"	"1.19"	"1.15"	"1.23"	"<0.001"
"74"	"i5b"	"comp_bpsc_y2_moderate.lag"	"1.00"	"0.94"	"1.06"	"0.978"
"75"	"i5b"	"comp_bpsc_y3_severe.lag"	"1.81"	"1.71"	"1.91"	"<0.001"
"76"	"i5b"	"less_90d_tr1.lag"	"2.35"	"2.28"	"2.41"	"<0.001"
"77"	"i5b"	"policonsumo2.lag"	"1.13"	"1.09"	"1.18"	"<0.001"
"78"	"i5b"	"policonsumo2"	"1.06"	"1.05"	"1.08"	"<0.001"
