"model"	"term"	"estimate"	"std.error"	"p.value"	"conf.low"	"conf.high"
"19"	"full, binomial"	"comp_bpsc_y2_moderate"	"1.21"	"0.07"	"0.0096"	"1.05"	"1.39"
"20"	"full, binomial"	"comp_bpsc_y3_severe"	"1.04"	"0.08"	"0.6404"	"0.89"	"1.20"
"21"	"full, binomial"	"edad_al_ing_1"	"0.98"	"0.01"	"0.0038"	"0.96"	"0.99"
"22"	"full, binomial"	"ano_nac_corr"	"1.01"	"0.01"	"0.2832"	"0.99"	"1.02"
"23"	"full, binomial"	"esc_dum_rec_3prim"	"1.58"	"0.06"	"0.0000"	"1.41"	"1.78"
"24"	"full, binomial"	"esc_dum_rec_2high"	"1.29"	"0.05"	"0.0000"	"1.16"	"1.43"
"25"	"full, binomial"	"susprindum_oh"	"1.42"	"0.14"	"0.0099"	"1.09"	"1.85"
"26"	"full, binomial"	"susprindum_coc"	"1.49"	"0.14"	"0.0037"	"1.14"	"1.96"
"27"	"full, binomial"	"susprindum_pbc"	"1.69"	"0.13"	"0.0001"	"1.30"	"2.20"
"28"	"full, binomial"	"susprindum_mar"	"1.44"	"0.15"	"0.0159"	"1.07"	"1.95"
"29"	"full, binomial"	"freq_cons_dum_5day"	"0.95"	"0.10"	"0.5924"	"0.79"	"1.15"
"30"	"full, binomial"	"freq_cons_dum_44to6wk"	"0.96"	"0.10"	"0.7040"	"0.79"	"1.17"
"31"	"full, binomial"	"freq_cons_dum_32to3wk"	"0.89"	"0.10"	"0.2413"	"0.74"	"1.08"
"32"	"full, binomial"	"freq_cons_dum_21wkmore"	"0.89"	"0.12"	"0.3424"	"0.71"	"1.13"
"33"	"full, binomial"	"cond_oc_dum_3unemp"	"0.89"	"0.04"	"0.0045"	"0.82"	"0.96"
"34"	"full, binomial"	"cond_oc_dum_2inact"	"0.81"	"0.05"	"0.0001"	"0.74"	"0.90"
"35"	"full, binomial"	"viv_dum_illegal"	"0.74"	"0.17"	"0.0798"	"0.53"	"1.04"
"36"	"full, binomial"	"viv_dum_own"	"0.99"	"0.10"	"0.9191"	"0.81"	"1.21"
"37"	"full, binomial"	"viv_dum_rent"	"0.98"	"0.11"	"0.8731"	"0.80"	"1.21"
"38"	"full, binomial"	"viv_dum_temp"	"1.01"	"0.10"	"0.9144"	"0.83"	"1.24"
"39"	"full, binomial"	"psycom_dum_with"	"1.02"	"0.04"	"0.6334"	"0.94"	"1.10"
"40"	"full, binomial"	"psycom_dum_study"	"1.59"	"0.05"	"0.0000"	"1.43"	"1.77"
"41"	"full, binomial"	"susinidum_oh"	"0.99"	"0.12"	"0.9417"	"0.78"	"1.26"
"42"	"full, binomial"	"susinidum_coc"	"1.08"	"0.15"	"0.6212"	"0.80"	"1.44"
"43"	"full, binomial"	"susinidum_pbc"	"1.18"	"0.14"	"0.2289"	"0.90"	"1.54"
"44"	"full, binomial"	"susinidum_mar"	"1.11"	"0.12"	"0.4113"	"0.87"	"1.41"
"45"	"full, binomial"	"cohab_dum_alone"	"1.03"	"0.09"	"0.7574"	"0.86"	"1.23"
"46"	"full, binomial"	"cohab_dum_fam_or"	"0.94"	"0.07"	"0.3411"	"0.81"	"1.07"
"47"	"full, binomial"	"cohab_dum_cpl_child"	"0.99"	"0.07"	"0.8350"	"0.86"	"1.13"
"48"	"simplest, poisson"	"(Intercept)"	"0.00"	"3.86"	"0.1425"	"0.00"	"6.71"
"49"	"simplest, poisson"	"policonsumo2"	"1.03"	"0.01"	"0.0166"	"1.01"	"1.05"
"50"	"simplest, poisson"	"edad_al_ing_1"	"0.99"	"0.00"	"0.0047"	"0.99"	"1.00"
"51"	"simplest, poisson"	"ano_nac_corr"	"1.00"	"0.00"	"0.1485"	"1.00"	"1.01"
"52"	"simplest, poisson"	"susinidum_oh"	"1.00"	"0.03"	"0.9207"	"0.94"	"1.07"
"53"	"simplest, poisson"	"susinidum_coc"	"1.02"	"0.04"	"0.6259"	"0.95"	"1.10"
"54"	"simplest, poisson"	"susinidum_pbc"	"1.05"	"0.03"	"0.1596"	"0.98"	"1.12"
"55"	"simplest, poisson"	"susinidum_mar"	"1.03"	"0.03"	"0.4172"	"0.96"	"1.09"
"56"	"simplest, poisson"	"psycom_dum_study"	"1.10"	"0.01"	"0.0000"	"1.08"	"1.13"
"57"	"simplest, poisson"	"psycom_dum_with"	"1.00"	"0.01"	"0.9978"	"0.98"	"1.02"
"58"	"simplest, poisson"	"freq_cons_dum_5day"	"1.00"	"0.01"	"0.8979"	"0.98"	"1.02"
"59"	"simplest, poisson"	"cond_oc_dum_2inact"	"0.95"	"0.01"	"0.0001"	"0.92"	"0.97"
"60"	"simplest, poisson"	"cond_oc_dum_3unemp"	"0.96"	"0.01"	"0.0001"	"0.94"	"0.98"
"61"	"simplest, poisson"	"susprindum_coc"	"1.02"	"0.02"	"0.2060"	"0.99"	"1.05"
"62"	"simplest, poisson"	"susprindum_pbc"	"1.06"	"0.01"	"0.0000"	"1.04"	"1.09"
"63"	"simplest, poisson"	"susprindum_mar"	"1.02"	"0.02"	"0.3036"	"0.98"	"1.07"
"64"	"full, poisson"	"(Intercept)"	"0.02"	"3.85"	"0.2886"	"0.00"	"31.97"
"65"	"full, poisson"	"policonsumo2"	"1.04"	"0.01"	"0.0036"	"1.01"	"1.06"
"66"	"full, poisson"	"comp_bpsc_y2_moderate"	"1.05"	"0.02"	"0.0140"	"1.01"	"1.09"
"67"	"full, poisson"	"comp_bpsc_y3_severe"	"1.01"	"0.02"	"0.5374"	"0.97"	"1.06"
"68"	"full, poisson"	"edad_al_ing_1"	"0.99"	"0.00"	"0.0007"	"0.99"	"1.00"
"69"	"full, poisson"	"ano_nac_corr"	"1.00"	"0.00"	"0.3233"	"1.00"	"1.01"
"70"	"full, poisson"	"esc_dum_rec_3prim"	"1.13"	"0.02"	"0.0000"	"1.09"	"1.16"
"71"	"full, poisson"	"esc_dum_rec_2high"	"1.07"	"0.02"	"0.0000"	"1.04"	"1.11"
"72"	"full, poisson"	"susprindum_oh"	"1.14"	"0.05"	"0.0133"	"1.03"	"1.26"
"73"	"full, poisson"	"susprindum_coc"	"1.16"	"0.05"	"0.0043"	"1.05"	"1.29"
"74"	"full, poisson"	"susprindum_pbc"	"1.20"	"0.05"	"0.0005"	"1.08"	"1.32"
"75"	"full, poisson"	"susprindum_mar"	"1.15"	"0.05"	"0.0098"	"1.03"	"1.28"
"76"	"full, poisson"	"freq_cons_dum_5day"	"0.99"	"0.02"	"0.5660"	"0.95"	"1.03"
"77"	"full, poisson"	"freq_cons_dum_44to6wk"	"0.99"	"0.02"	"0.6959"	"0.95"	"1.04"
"78"	"full, poisson"	"freq_cons_dum_32to3wk"	"0.97"	"0.02"	"0.2246"	"0.93"	"1.02"
"79"	"full, poisson"	"freq_cons_dum_21wkmore"	"0.98"	"0.03"	"0.3738"	"0.92"	"1.03"
"80"	"full, poisson"	"cond_oc_dum_3unemp"	"0.97"	"0.01"	"0.0017"	"0.95"	"0.99"
"81"	"full, poisson"	"cond_oc_dum_2inact"	"0.95"	"0.01"	"0.0000"	"0.92"	"0.97"
"82"	"full, poisson"	"viv_dum_illegal"	"0.92"	"0.05"	"0.1004"	"0.84"	"1.02"
"83"	"full, poisson"	"viv_dum_own"	"1.00"	"0.03"	"0.8625"	"0.95"	"1.05"
"84"	"full, poisson"	"viv_dum_rent"	"1.00"	"0.03"	"0.8536"	"0.95"	"1.05"
"85"	"full, poisson"	"viv_dum_temp"	"1.00"	"0.02"	"0.9676"	"0.95"	"1.05"
"86"	"full, poisson"	"psycom_dum_with"	"1.00"	"0.01"	"0.6998"	"0.98"	"1.02"
"87"	"full, poisson"	"psycom_dum_study"	"1.10"	"0.01"	"0.0000"	"1.08"	"1.13"
"88"	"full, poisson"	"susinidum_oh"	"1.00"	"0.03"	"0.9053"	"0.93"	"1.06"
"89"	"full, poisson"	"susinidum_coc"	"1.02"	"0.04"	"0.6879"	"0.94"	"1.09"
"90"	"full, poisson"	"susinidum_pbc"	"1.04"	"0.03"	"0.2843"	"0.97"	"1.11"
"91"	"full, poisson"	"susinidum_mar"	"1.02"	"0.03"	"0.5293"	"0.96"	"1.09"
"92"	"full, poisson"	"cohab_dum_alone"	"1.01"	"0.02"	"0.7691"	"0.96"	"1.05"
"93"	"full, poisson"	"cohab_dum_fam_or"	"0.98"	"0.02"	"0.3130"	"0.95"	"1.02"
"94"	"full, poisson"	"cohab_dum_cpl_child"	"1.00"	"0.02"	"0.8793"	"0.96"	"1.03"
