"setting"	"model"	"QIC"	"RR (95% IC)"	"p.value"
"35"	"GP intensive ambulatory"	"Stratified by follow-up intervals, lag=0"	"22,283.0"	"1.04 (1.01, 1.08)"	"0.0174"
"36"	"GP intensive ambulatory"	"Stratified by follow-up intervals, lag=0, NB"	"22,283.0"	"1.04 (1.01, 1.08)"	"0.0174"
"37"	"GP intensive ambulatory"	"Stratified by follow-up intervals, lag=1"	"22,269.4"	"1.02 (0.99, 1.05)"	"0.1429"
"38"	"GP intensive ambulatory"	"Stratified by follow-up intervals, lag=1, NB"	"22,269.4"	"1.02 (0.99, 1.05)"	"0.1429"
"39"	"GP intensive ambulatory"	"Stratified by follow-up intervals, 2nd, lag=1"	"22,280.0"	"1.01 (0.98, 1.05)"	"0.4077"
"40"	"GP intensive ambulatory"	"Stratified by follow-up intervals, 2nd, lag=1, NB"	"22,280.0"	"1.01 (0.98, 1.05)"	"0.4077"
"41"	"GP residential"	"No time-varying coefficients, no weight"	"9,818.1"	"0.97 (0.92, 1.02)"	"0.2207"
"42"	"GP residential"	"No time-varying coefficients, no weight, NB"	"9,979.2"	"0.97 (0.92, 1.02)"	"0.2203"
"43"	"GP residential"	"No time-varying coefficients, lag=0"	"9,833.7"	"0.97 (0.92, 1.02)"	"0.2773"
"44"	"GP residential"	"No time-varying coefficients, lag=0, NB"	"9,833.7"	"0.97 (0.92, 1.02)"	"0.2773"
"45"	"GP residential"	"No time-varying coefficients, lag=1"	"9,827.8"	"0.95 (0.90, 1.01)"	"0.1236"
"46"	"GP residential"	"No time-varying coefficients, lag=1, NB"	"9,827.8"	"0.95 (0.90, 1.01)"	"0.1236"
"47"	"GP residential"	"With time-varying coefficients, no weight"	"9,818.1"	"0.97 (0.92, 1.02)"	"0.2207"
"48"	"GP residential"	"With time-varying coefficients, no weight, NB"	"9,818.1"	"0.97 (0.92, 1.02)"	"0.2207"
"49"	"GP residential"	"With time-varying coefficients, lag=0"	"9,830.3"	"0.98 (0.93, 1.04)"	"0.4692"
"50"	"GP residential"	"With time-varying coefficients, lag=0, NB"	"9,830.3"	"0.98 (0.93, 1.04)"	"0.4692"
"51"	"GP residential"	"With time-varying coefficients, lag=1"	"9,868.4"	"1.00 (0.94, 1.07)"	"0.991"
"52"	"GP residential"	"With time-varying coefficients, lag=1, NB"	"9,868.4"	"1.00 (0.94, 1.07)"	"0.991"
"53"	"GP residential"	"Stratified by follow-up intervals, no weight"	"9,818.1"	"0.97 (0.92, 1.02)"	"0.2207"
"54"	"GP residential"	"Stratified by follow-up intervals, no weight, NB"	"9,818.1"	"0.97 (0.92, 1.02)"	"0.2207"
"55"	"GP residential"	"Stratified by follow-up intervals, lag=0"	"9,839.4"	"0.95 (0.89, 1.02)"	"0.137"
"56"	"GP residential"	"Stratified by follow-up intervals, lag=0, NB"	"9,839.4"	"0.95 (0.89, 1.02)"	"0.137"
"57"	"GP residential"	"Stratified by follow-up intervals, lag=1"	"9,837.5"	"0.98 (0.91, 1.04)"	"0.4662"
"58"	"GP residential"	"Stratified by follow-up intervals, lag=1, NB"	"9,837.5"	"0.98 (0.91, 1.04)"	"0.4662"
"59"	"GP residential"	"Stratified by follow-up intervals, 2nd, lag=1"	"9,885.3"	"1.01 (0.92, 1.11)"	"0.8284"
"60"	"GP residential"	"Stratified by follow-up intervals, 2nd, lag=1, NB"	"9,885.3"	"1.01 (0.92, 1.11)"	"0.8284"
"61"	"WO intensive ambulatory"	"No time-varying coefficients, no weight"	"3,424.2"	"0.99 (0.93, 1.05)"	"0.715"
"62"	"WO intensive ambulatory"	"No time-varying coefficients, no weight, NB"	"3,487.8"	"0.99 (0.92, 1.06)"	"0.7171"
"63"	"WO intensive ambulatory"	"No time-varying coefficients, lag=0"	"3,434.7"	"0.99 (0.92, 1.07)"	"0.8848"
"64"	"WO intensive ambulatory"	"No time-varying coefficients, lag=0, NB"	"3,434.7"	"0.99 (0.92, 1.07)"	"0.8848"
"65"	"WO intensive ambulatory"	"No time-varying coefficients, lag=1"	"3,431.3"	"0.99 (0.92, 1.06)"	"0.7415"
"66"	"WO intensive ambulatory"	"No time-varying coefficients, lag=1, NB"	"3,431.3"	"0.99 (0.92, 1.06)"	"0.7415"
"67"	"WO intensive ambulatory"	"With time-varying coefficients, no weight"	"3,424.2"	"0.99 (0.93, 1.05)"	"0.715"
"68"	"WO intensive ambulatory"	"With time-varying coefficients, no weight, NB"	"3,424.2"	"0.99 (0.93, 1.05)"	"0.715"
"69"	"WO intensive ambulatory"	"With time-varying coefficients, lag=0"	"3,445.9"	"1.01 (0.92, 1.11)"	"0.8115"
"70"	"WO intensive ambulatory"	"With time-varying coefficients, lag=0, NB"	"3,445.9"	"1.01 (0.92, 1.11)"	"0.8115"
"71"	"WO intensive ambulatory"	"With time-varying coefficients, lag=1"	"3,468.6"	"1.01 (0.91, 1.12)"	"0.8504"
"72"	"WO intensive ambulatory"	"With time-varying coefficients, lag=1, NB"	"3,468.6"	"1.01 (0.91, 1.12)"	"0.8504"
"73"	"WO intensive ambulatory"	"Stratified by follow-up intervals, no weight"	"3,424.2"	"0.99 (0.93, 1.05)"	"0.715"
"74"	"WO intensive ambulatory"	"Stratified by follow-up intervals, no weight, NB"	"3,424.2"	"0.99 (0.93, 1.05)"	"0.715"
"75"	"WO intensive ambulatory"	"Stratified by follow-up intervals, lag=0"	"3,453.0"	"0.98 (0.90, 1.07)"	"0.6456"
"76"	"WO intensive ambulatory"	"Stratified by follow-up intervals, lag=0, NB"	"3,453.0"	"0.98 (0.90, 1.07)"	"0.6456"
"77"	"WO intensive ambulatory"	"Stratified by follow-up intervals, lag=1"	"3,437.3"	"0.98 (0.91, 1.05)"	"0.547"
"78"	"WO intensive ambulatory"	"Stratified by follow-up intervals, lag=1, NB"	"3,437.3"	"0.98 (0.91, 1.05)"	"0.547"
"79"	"WO intensive ambulatory"	"Stratified by follow-up intervals, 2nd, lag=1"	"3,466.2"	"0.94 (0.87, 1.03)"	"0.1744"
"80"	"WO intensive ambulatory"	"Stratified by follow-up intervals, 2nd, lag=1, NB"	"3,466.2"	"0.94 (0.87, 1.03)"	"0.1744"
"81"	"WO residential"	"No time-varying coefficients, no weight"	"4,826.1"	"1.14 (1.06, 1.23)"	"6e-04"
"82"	"WO residential"	"No time-varying coefficients, no weight, NB"	"4,909.1"	"1.14 (1.06, 1.23)"	"6e-04"
"83"	"WO residential"	"No time-varying coefficients, lag=0"	"4,839.1"	"1.15 (1.06, 1.25)"	"0.001"
"84"	"WO residential"	"No time-varying coefficients, lag=0, NB"	"4,839.1"	"1.15 (1.06, 1.25)"	"0.001"
"85"	"WO residential"	"No time-varying coefficients, lag=1"	"4,835.6"	"1.13 (1.04, 1.22)"	"0.0027"
"86"	"WO residential"	"No time-varying coefficients, lag=1, NB"	"4,835.6"	"1.13 (1.04, 1.22)"	"0.0027"
"87"	"WO residential"	"With time-varying coefficients, no weight"	"4,826.1"	"1.14 (1.06, 1.23)"	"6e-04"
"88"	"WO residential"	"With time-varying coefficients, no weight, NB"	"4,826.1"	"1.14 (1.06, 1.23)"	"6e-04"
"89"	"WO residential"	"With time-varying coefficients, lag=0"	"4,839.7"	"1.11 (1.02, 1.21)"	"0.0134"
"90"	"WO residential"	"With time-varying coefficients, lag=0, NB"	"4,839.7"	"1.11 (1.02, 1.21)"	"0.0134"
"91"	"WO residential"	"With time-varying coefficients, lag=1"	"4,861.0"	"1.13 (1.03, 1.25)"	"0.012"
"92"	"WO residential"	"With time-varying coefficients, lag=1, NB"	"4,861.0"	"1.13 (1.03, 1.25)"	"0.012"
"93"	"WO residential"	"Stratified by follow-up intervals, no weight"	"4,826.1"	"1.14 (1.06, 1.23)"	"6e-04"
"94"	"WO residential"	"Stratified by follow-up intervals, no weight, NB"	"4,826.1"	"1.14 (1.06, 1.23)"	"6e-04"
"95"	"WO residential"	"Stratified by follow-up intervals, lag=0"	"4,851.1"	"1.12 (1.03, 1.22)"	"0.0105"
"96"	"WO residential"	"Stratified by follow-up intervals, lag=0, NB"	"4,851.1"	"1.12 (1.03, 1.22)"	"0.0105"
"97"	"WO residential"	"Stratified by follow-up intervals, lag=1"	"4,841.8"	"1.11 (1.02, 1.20)"	"0.0117"
"98"	"WO residential"	"Stratified by follow-up intervals, lag=1, NB"	"4,841.8"	"1.11 (1.02, 1.20)"	"0.0117"
"99"	"WO residential"	"Stratified by follow-up intervals, 2nd, lag=1"	"4,874.2"	"1.09 (0.99, 1.20)"	"0.0693"
"100"	"WO residential"	"Stratified by follow-up intervals, 2nd, lag=1, NB"	"4,874.2"	"1.09 (0.99, 1.20)"	"0.0693"
