"model"	"term"	"estimate"	"std.error"	"p.value"	"conf.low"	"conf.high"
"44"	"full, binomial"	"susinidum_mar"	"1.08"	"0.13"	"0.5517"	"0.83"	"1.40"
"45"	"full, binomial"	"cohab_dum_alone"	"1.00"	"0.10"	"0.9709"	"0.82"	"1.22"
"46"	"full, binomial"	"cohab_dum_fam_or"	"0.94"	"0.08"	"0.3977"	"0.80"	"1.09"
"47"	"full, binomial"	"cohab_dum_cpl_child"	"0.96"	"0.08"	"0.6010"	"0.82"	"1.12"
"48"	"simplest, poisson"	"(Intercept)"	"0.75"	"4.53"	"0.9490"	"0.00"	"5349.07"
"49"	"simplest, poisson"	"policonsumo2"	"1.03"	"0.01"	"0.0184"	"1.01"	"1.06"
"50"	"simplest, poisson"	"edad_al_ing_1"	"0.99"	"0.00"	"0.0001"	"0.99"	"1.00"
"51"	"simplest, poisson"	"ano_nac_corr"	"1.00"	"0.00"	"0.9664"	"1.00"	"1.00"
"52"	"simplest, poisson"	"susinidum_oh"	"0.99"	"0.04"	"0.8770"	"0.93"	"1.07"
"53"	"simplest, poisson"	"susinidum_coc"	"1.00"	"0.04"	"0.9843"	"0.92"	"1.09"
"54"	"simplest, poisson"	"susinidum_pbc"	"1.05"	"0.04"	"0.2134"	"0.97"	"1.13"
"55"	"simplest, poisson"	"susinidum_mar"	"1.02"	"0.04"	"0.6207"	"0.95"	"1.09"
"56"	"simplest, poisson"	"psycom_dum_study"	"1.10"	"0.01"	"0.0000"	"1.07"	"1.13"
"57"	"simplest, poisson"	"psycom_dum_with"	"1.01"	"0.01"	"0.5064"	"0.98"	"1.03"
"58"	"simplest, poisson"	"freq_cons_dum_5day"	"1.00"	"0.01"	"0.6409"	"0.98"	"1.03"
"59"	"simplest, poisson"	"cond_oc_dum_2inact"	"0.95"	"0.02"	"0.0006"	"0.92"	"0.98"
"60"	"simplest, poisson"	"cond_oc_dum_3unemp"	"0.97"	"0.01"	"0.0102"	"0.95"	"0.99"
"61"	"simplest, poisson"	"susprindum_coc"	"1.04"	"0.02"	"0.0508"	"1.00"	"1.08"
"62"	"simplest, poisson"	"susprindum_pbc"	"1.08"	"0.02"	"0.0000"	"1.05"	"1.12"
"63"	"simplest, poisson"	"susprindum_mar"	"1.03"	"0.03"	"0.2287"	"0.98"	"1.08"
"64"	"full, poisson"	"(Intercept)"	"4.67"	"4.52"	"0.7330"	"0.00"	"32702.56"
"65"	"full, poisson"	"policonsumo2"	"1.04"	"0.01"	"0.0064"	"1.01"	"1.07"
"66"	"full, poisson"	"comp_bpsc_y2_moderate"	"1.06"	"0.02"	"0.0246"	"1.01"	"1.11"
"67"	"full, poisson"	"comp_bpsc_y3_severe"	"1.03"	"0.02"	"0.2968"	"0.98"	"1.08"
"68"	"full, poisson"	"edad_al_ing_1"	"0.99"	"0.00"	"0.0000"	"0.99"	"0.99"
"69"	"full, poisson"	"ano_nac_corr"	"1.00"	"0.00"	"0.6845"	"0.99"	"1.00"
"70"	"full, poisson"	"esc_dum_rec_3prim"	"1.13"	"0.02"	"0.0000"	"1.09"	"1.18"
"71"	"full, poisson"	"esc_dum_rec_2high"	"1.09"	"0.02"	"0.0000"	"1.05"	"1.13"
"72"	"full, poisson"	"susprindum_oh"	"1.09"	"0.06"	"0.1426"	"0.97"	"1.22"
"73"	"full, poisson"	"susprindum_coc"	"1.13"	"0.06"	"0.0338"	"1.01"	"1.27"
"74"	"full, poisson"	"susprindum_pbc"	"1.16"	"0.06"	"0.0073"	"1.04"	"1.30"
"75"	"full, poisson"	"susprindum_mar"	"1.11"	"0.06"	"0.0810"	"0.99"	"1.25"
"76"	"full, poisson"	"freq_cons_dum_5day"	"0.99"	"0.02"	"0.6662"	"0.94"	"1.04"
"77"	"full, poisson"	"freq_cons_dum_44to6wk"	"1.00"	"0.03"	"0.8583"	"0.95"	"1.05"
"78"	"full, poisson"	"freq_cons_dum_32to3wk"	"0.97"	"0.03"	"0.2062"	"0.92"	"1.02"
"79"	"full, poisson"	"freq_cons_dum_21wkmore"	"0.98"	"0.03"	"0.4916"	"0.92"	"1.04"
"80"	"full, poisson"	"cond_oc_dum_3unemp"	"0.97"	"0.01"	"0.0251"	"0.95"	"1.00"
"81"	"full, poisson"	"cond_oc_dum_2inact"	"0.94"	"0.02"	"0.0002"	"0.92"	"0.97"
"82"	"full, poisson"	"viv_dum_illegal"	"0.95"	"0.06"	"0.3360"	"0.84"	"1.06"
"83"	"full, poisson"	"viv_dum_own"	"1.03"	"0.03"	"0.3694"	"0.97"	"1.10"
"84"	"full, poisson"	"viv_dum_rent"	"1.03"	"0.03"	"0.4031"	"0.96"	"1.10"
"85"	"full, poisson"	"viv_dum_temp"	"1.03"	"0.03"	"0.3950"	"0.97"	"1.09"
"86"	"full, poisson"	"psycom_dum_with"	"1.01"	"0.01"	"0.3357"	"0.99"	"1.04"
"87"	"full, poisson"	"psycom_dum_study"	"1.10"	"0.01"	"0.0000"	"1.07"	"1.13"
"88"	"full, poisson"	"susinidum_oh"	"0.99"	"0.04"	"0.7909"	"0.92"	"1.06"
"89"	"full, poisson"	"susinidum_coc"	"1.00"	"0.04"	"0.9993"	"0.92"	"1.09"
"90"	"full, poisson"	"susinidum_pbc"	"1.04"	"0.04"	"0.3120"	"0.96"	"1.12"
"91"	"full, poisson"	"susinidum_mar"	"1.01"	"0.04"	"0.6980"	"0.94"	"1.09"
"92"	"full, poisson"	"cohab_dum_alone"	"1.00"	"0.03"	"0.9439"	"0.95"	"1.05"
"93"	"full, poisson"	"cohab_dum_fam_or"	"0.98"	"0.02"	"0.3777"	"0.95"	"1.02"
"94"	"full, poisson"	"cohab_dum_cpl_child"	"0.99"	"0.02"	"0.6579"	"0.95"	"1.03"
